id,name
0,Acridotheres Tristis
1,Aegithalos Caudatus
2,Carduelis Carduelis
3,Certhia Brachydactyla
4,Chloris Chloris
5,Columba Livia
6,Columba Palumbus
7,Corvus Corone
8,Cyanistes Caeruleus
9,Dendrocopos Major
10,Erithacus Rubecula
11,Fringilla Coelebs
12,Garrulus Glandarius
13,Motacilla Alba
14,Muscicapa Striata
15,Parus Major
16,Passer Domesticus
17,Passer Montanus
18,Periparus Ater
19,Phoenicurus Ochruros
20,Phylloscopus Collybita
21,Pica Pica
22,Pyrrhula Pyrrhula
23,Regulus Regulus
24,Sitta Europaea
25,Spinus Spinus
26,Streptopelia Decaocto
27,Sturnus Vulgaris
28,Sylvia Atricapilla
29,Troglodytes Troglodytes
30,Turdus Merula
31,Turdus Philomelos
